time,particles 03um,particles 05um,particles 10um,particles 25um,particles 50um,particles 100um,Temperature C,Gas Ohm,Humidity %%,Pressure hPa,Altitude meters
1771457593.6778703,141,37,6,3,0,0,21.3540234375,308071,33.27306610978027,1003.0452920363684,85.30970678490642
1771457594.6886377,141,37,6,3,0,0,21.324140625,310000,33.21346817792175,1003.0150926729661,85.56320942452503
1771457595.699391,141,37,6,3,0,0,21.2903515625,310556,33.11942845685548,1002.9803869373992,85.85454755476194
1771457596.7102005,126,37,10,4,0,0,21.2567578125,308895,33.13348597665962,1002.9568814576633,86.05186950495516
1771457597.7223182,126,37,10,4,0,0,21.2286328125,310000,33.159407420000264,1002.9404069835308,86.19017035490387
1771457598.7344549,126,37,10,4,0,0,21.2005078125,308345,33.20808644530114,1002.9275586826448,86.29803127668328
1771457599.746628,123,36,13,4,0,0,21.17296875,309723,33.22837910113098,1002.9120279190877,86.42841284840635
1771457600.7585185,123,36,13,4,0,0,21.1440625,308895,33.30546408535738,1002.9106087195994,86.4403271837995
1771457601.770742,123,36,13,4,0,0,21.110859375,311393,33.35941854873418,1002.9004195399098,86.52586686591695
1771457602.7829387,123,38,16,5,0,0,21.0735546875,308895,33.45289675458412,1002.8999137175098,86.53011333868832
1771457603.7951298,123,38,16,5,0,0,21.0356640625,312516,33.534970493468954,1002.9057082641687,86.48146714968615
1771457604.8073432,123,38,16,5,0,0,20.996015625,311954,33.76528199119125,1002.9195324332265,86.36541185588933
1771457605.8194103,105,33,16,4,0,0,20.962421875,313932,33.910738437104136,1003.0211254897564,85.51256763191705
1771457606.8307877,105,33,16,4,0,0,20.92609375,314787,33.81604382194636,1003.0022219970931,85.67125166982949
1771457607.8429,105,33,16,4,0,0,20.8923046875,314787,33.87009253177669,1002.9928642954723,85.74980513316127
1771457608.8549395,87,27,16,4,0,0,20.8602734375,315073,33.964319027201334,1003.0062927082721,85.6370801669261
1771457609.8671434,87,27,16,4,0,0,20.8325390625,315073,33.984660739170394,1003.0176054518907,85.54211615841291
1771457610.8792195,87,27,16,4,0,0,20.810859375,314501,34.04557696325578,1003.0115198449582,85.59320123809894
1771457611.891434,78,24,15,4,0,0,20.787421875,313932,34.09491396870872,1003.0134647801594,85.57687462730968
