time,temperature,gas,humidity,pressure,altitude,pm10standard,pm25standard,pm100standard,pm10env,pm25env,pm100 env,p03um,p05um,p10um,p25um,p50um,p100um
Wed Feb 18 15:14:58 2026,18.019453125,142311,34.39879620481438,1003.3772583864044,82.52348755979405,1,2,2,1,2,2,420,101,13,1,1,1
Wed Feb 18 15:14:59 2026,17.98,142190,34.38375895237275,1003.3789249661488,82.50950171033443,1,2,2,1,2,2,420,101,13,1,1,1
Wed Feb 18 15:15:00 2026,17.9423046875,143408,34.39725394982166,1003.3662988920473,82.6154595278996,1,2,2,1,2,2,420,101,13,1,1,1
Wed Feb 18 15:15:01 2026,17.9065625,144148,34.38256746516459,1003.3758265211193,82.53550371289104,1,2,2,1,2,2,411,98,10,1,0,0
Wed Feb 18 15:15:02 2026,17.8727734375,144397,34.40210028090218,1003.3782673848102,82.51502009605503,1,2,2,1,2,2,411,98,10,1,0,0
Wed Feb 18 15:15:03 2026,17.8346875,144646,34.40988665580589,1003.3838951191548,82.46779255970651,1,2,2,1,2,2,411,98,10,1,0,0
Wed Feb 18 15:15:04 2026,17.7925,146161,34.417290180604,1003.3758342249264,82.53543906282812,1,2,2,1,2,2,399,100,11,1,0,0
Wed Feb 18 15:15:05 2026,17.7532421875,146288,34.43064056477892,1003.362308521086,82.64894688348221,1,2,2,1,2,2,399,100,11,1,0,0
Wed Feb 18 15:15:06 2026,17.713984375,146416,34.455337784954054,1003.3642526677451,82.63263151209014,1,2,2,1,2,2,399,100,11,1,0,0
Wed Feb 18 15:15:07 2026,17.66984375,146801,34.462559771898285,1003.3855994621159,82.45348988013954,1,2,2,1,2,2,438,110,12,1,0,0
Wed Feb 18 15:15:08 2026,17.6227734375,147838,34.48085527790266,1003.4037936965502,82.30080686871187,1,2,2,1,2,2,438,110,12,1,0,0
Wed Feb 18 15:15:09 2026,17.571796875,147968,34.4931130256665,1003.4189328504415,82.17376329745238,1,2,2,1,2,2,438,110,12,1,0,0
Wed Feb 18 15:15:10 2026,17.51984375,148757,34.52797605442068,1003.4135294543522,82.2191069173488,1,2,2,1,2,2,453,111,12,1,0,0
Wed Feb 18 15:15:11 2026,17.4723828125,149154,34.56893860857399,1003.3983805339245,82.34623300147454,1,2,2,1,2,2,453,111,12,1,0,0
Wed Feb 18 15:15:12 2026,17.4286328125,148493,34.60457829613515,1003.3807879329083,82.49386781364704,1,2,2,1,2,2,453,111,12,1,0,0
Wed Feb 18 15:15:13 2026,17.3848828125,149554,34.64590030437812,1003.3666263803104,82.61271123784701,1,2,2,1,2,2,414,102,13,1,0,0
Wed Feb 18 15:15:14 2026,17.34953125,149821,34.68801599326611,1003.354365327701,82.71560680677558,1,2,2,1,2,2,414,102,13,1,0,0
Wed Feb 18 15:15:15 2026,17.3169140625,150359,34.713356170771085,1003.3483560077491,82.76603779124821,1,2,2,1,2,2,414,102,13,1,0,0
Wed Feb 18 15:15:16 2026,17.2778515625,151447,34.76081704772194,1003.3488295295241,82.76206392684628,1,2,2,1,2,2,381,102,17,1,0,0
Wed Feb 18 15:15:17 2026,17.2356640625,150629,34.79094831922334,1003.3441099968602,82.80167100714942,1,2,2,1,2,2,381,102,17,1,0,0
Wed Feb 18 15:15:18 2026,17.1895703125,151584,34.83776479056297,1003.3466445946017,82.78040023482303,1,2,2,1,2,2,381,102,17,1,0,0
Wed Feb 18 15:15:19 2026,17.148359375,151447,34.87936473365024,1003.3555558269591,82.70561601319893,1,2,2,1,2,2,321,83,15,2,0,0
Wed Feb 18 15:15:20 2026,17.11203125,151859,34.915745389840886,1003.3553846776095,82.70705231575161,1,2,2,1,2,2,321,83,15,2,0,0
Wed Feb 18 15:15:21 2026,17.07375,152134,34.974695603520686,1003.3536834370227,82.72132930858359,1,2,2,1,2,2,321,83,15,2,0,0
Wed Feb 18 15:15:22 2026,17.0356640625,152689,35.02799212092023,1003.3574530659491,82.68969420613571,1,2,2,1,2,2,321,80,17,2,0,0
Wed Feb 18 15:15:23 2026,17.0001171875,151721,35.064470221156874,1003.3585606036561,82.68039965737113,1,2,2,1,2,2,321,80,17,2,0,0
Wed Feb 18 15:15:24 2026,16.970234375,152968,35.101488030896846,1003.3553256563065,82.70754762850268,1,2,2,1,2,2,321,80,17,2,0,0
Wed Feb 18 15:15:25 2026,16.9415234375,154236,35.150007903971265,1003.3626195535086,82.64633668285276,1,2,2,1,2,2,345,85,20,2,0,0
Wed Feb 18 15:15:26 2026,16.9016796875,154949,35.1690193601856,1003.3685990424343,82.59615662118723,1,2,2,1,2,2,345,85,20,2,0,0
Wed Feb 18 15:15:27 2026,16.8622265625,155380,35.227929075203534,1003.3717849448082,82.56942052578356,1,2,2,1,2,2,345,85,20,2,0,0
Wed Feb 18 15:15:28 2026,16.8188671875,155669,35.25800430092051,1003.3804971121212,82.49630836135624,1,2,2,1,2,2,357,92,22,2,0,0
Wed Feb 18 15:15:29 2026,16.7786328125,154949,35.29407492681721,1003.3875210411794,82.43736420002335,1,2,2,1,2,2,357,92,22,2,0,0
Wed Feb 18 15:15:30 2026,16.7383984375,155525,35.35294393011923,1003.3928200582027,82.3928955616416,1,2,2,1,2,2,357,92,22,2,0,0
Wed Feb 18 15:15:31 2026,16.695625,155959,35.38878854610952,1003.4041951762284,82.29743774281955,1,2,2,1,2,2,348,90,24,1,0,0
Wed Feb 18 15:15:32 2026,16.6536328125,155669,35.43041297474073,1003.4014084115781,82.32082365869749,1,2,2,1,2,2,348,90,24,1,0,0
Wed Feb 18 15:15:33 2026,16.6165234375,157425,35.48391244131361,1003.3878418408864,82.43467208661077,1,2,2,1,2,2,348,90,24,1,0,0
Wed Feb 18 15:15:34 2026,16.5712109375,158617,35.5081286247349,1003.3881091807915,82.4324286020978,1,2,2,1,2,2,333,84,20,1,0,0
Wed Feb 18 15:15:36 2026,16.5290234375,158168,35.56116429028801,1003.3815438152321,82.48752450472679,1,2,2,1,2,2,333,84,20,1,0,0
Wed Feb 18 15:15:37 2026,16.4923046875,157721,35.591908445564414,1003.3789066188519,82.50965567977855,1,2,2,1,2,2,333,84,20,1,0,0
Wed Feb 18 15:15:38 2026,16.45890625,157573,35.64579945647258,1003.3749146373875,82.54315620995357,1,2,2,1,2,2,297,78,20,1,0,0
Wed Feb 18 15:15:39 2026,16.4208203125,158768,35.69925886920033,1003.3699955820571,82.58443685103752,1,2,2,1,2,2,297,78,20,1,0,0
Wed Feb 18 15:15:40 2026,16.3887890625,158168,35.74759791779264,1003.3596854322838,82.67096001026194,1,2,2,1,2,2,297,78,20,1,0,0
Wed Feb 18 15:15:41 2026,16.357734375,158318,35.778905989792676,1003.3595733380475,82.671900713207,1,2,2,1,2,2,282,78,20,1,0,0
Wed Feb 18 15:15:42 2026,16.326484375,159524,35.85019175311393,1003.35741673563,82.68999909333985,1,2,2,1,2,2,282,78,20,1,0,0
Wed Feb 18 15:15:43 2026,16.291328125,159221,35.898268349880595,1003.3556290153413,82.70500180899921,1,2,2,1,2,2,282,78,20,1,0,0
Wed Feb 18 15:15:44 2026,16.2563671875,160134,35.96352636575157,1003.345582591083,82.78931274242174,0,1,1,0,1,1,303,83,22,1,0,0
Wed Feb 18 15:15:45 2026,16.224921875,159676,36.01770370405548,1003.3413729639012,82.82464069886728,0,1,1,0,1,1,303,83,22,1,0,0
Wed Feb 18 15:15:46 2026,16.192109375,160903,36.08320763731446,1003.3331723343908,82.8934622168843,0,1,1,0,1,1,303,83,22,1,0,0
Wed Feb 18 15:15:47 2026,16.1559765625,161058,36.131245483609185,1003.334888691283,82.87905812806848,0,0,0,0,0,0,312,79,19,1,0,0
Wed Feb 18 15:15:48 2026,16.1184765625,161524,36.173438553676526,1003.3308968333924,82.9125588112074,1,1,1,1,1,1,312,79,19,1,0,0
Wed Feb 18 15:15:49 2026,16.0848828125,161992,36.22174024273257,1003.3351054433713,82.87723909269516,1,1,1,1,1,1,312,79,19,1,0,0
Wed Feb 18 15:15:50 2026,16.051875,161992,36.287292601078235,1003.3334221613134,82.89136560671646,1,1,1,1,1,1,318,83,21,0,0,0
Wed Feb 18 15:15:51 2026,16.01828125,161992,36.329891921293736,1003.339335253796,82.84174157555067,1,1,1,1,1,1,318,83,21,0,0,0
Wed Feb 18 15:15:52 2026,15.987031250000001,162621,36.37845603093953,1003.3439932741662,82.802650564758,1,1,1,1,1,1,318,83,21,0,0,0
Wed Feb 18 15:15:53 2026,15.9534375,162464,36.44400425540249,1003.3498955835028,82.75311745058004,1,1,1,1,1,1,282,74,21,0,0,0
Wed Feb 18 15:15:54 2026,15.923749999999998,164055,36.50421658167045,1003.3554259248298,82.70670616491402,1,1,1,1,1,1,282,74,21,0,0,0
Wed Feb 18 15:15:55 2026,15.892890625,164055,36.552860984700416,1003.3538601930768,82.7198459519753,1,1,1,1,1,1,282,74,21,0,0,0
Wed Feb 18 15:15:56 2026,15.870234374999999,164377,36.62526496523322,1003.3487797811736,82.76248142225062,0,1,1,0,1,1,267,75,20,0,0,0
Wed Feb 18 15:15:57 2026,15.844453125000001,163255,36.69165459344274,1003.3453611102308,82.79117144699632,0,1,1,0,1,1,267,75,20,0,0,0
Wed Feb 18 15:15:58 2026,15.818085937500001,163255,36.76949961112825,1003.3495379198863,82.75611901354709,0,1,1,0,1,1,267,75,20,0,0,0
Wed Feb 18 15:15:59 2026,15.791914062499998,162938,36.83015792664816,1003.3591790433006,82.67520966393451,0,1,1,0,1,1,273,74,18,0,0,0
Wed Feb 18 15:16:00 2026,15.765546874999998,165025,36.89081708552545,1003.3616345366274,82.65460299915092,0,1,1,0,1,1,273,74,18,0,0,0
Wed Feb 18 15:16:01 2026,15.7368359375,164377,36.97427108319004,1003.3584762601683,82.68110747465583,0,1,1,0,1,1,273,74,18,0,0,0
Wed Feb 18 15:16:02 2026,15.713593750000001,164216,37.02952911083041,1003.355835467686,82.70326924053042,0,1,1,0,1,1,270,73,16,1,0,0
Wed Feb 18 15:16:03 2026,15.694453124999999,164216,37.10822541702503,1003.3514408035412,82.74014975840838,0,1,1,0,1,1,270,73,16,1,0,0
Wed Feb 18 15:16:04 2026,15.674726562499998,165187,37.169625680286345,1003.339214482958,82.84275510981458,0,1,1,0,1,1,270,73,16,1,0,0
Wed Feb 18 15:16:05 2026,15.6567578125,164862,37.236979422750466,1003.3384795505342,82.84892281934265,0,2,2,0,2,2,285,76,20,1,0,0
Wed Feb 18 15:16:06 2026,15.641523437499998,165514,37.30462721819954,1003.3302916139933,82.91763797522016,0,2,2,0,2,2,285,76,20,1,0,0
Wed Feb 18 15:16:07 2026,15.630976562499999,165350,37.378527091318254,1003.3247545087719,82.96410696696842,0,2,2,0,2,2,285,76,20,1,0,0
Wed Feb 18 15:16:08 2026,15.622187499999999,165842,37.45263299800834,1003.3204256675826,83.00043600141537,0,2,2,0,2,2,303,79,25,2,0,0
Wed Feb 18 15:16:09 2026,15.615546875,166336,37.5269841691991,1003.3162407677595,83.03555715404308,0,2,2,0,2,2,303,79,25,2,0,0
Wed Feb 18 15:16:10 2026,15.610859375,166336,37.5900154296031,1003.3170168469139,83.02904401559523,0,2,2,0,2,2,303,79,25,2,0,0
Wed Feb 18 15:16:11 2026,15.6079296875,166006,37.65902075733087,1003.3138598802846,83.0555384528732,0,2,2,0,2,2,318,82,25,2,0,0
Wed Feb 18 15:16:12 2026,15.606367187499998,165842,37.77442543216826,1003.3129759622476,83.06295663365435,0,2,2,0,2,2,318,82,25,2,0,0
Wed Feb 18 15:16:13 2026,15.605195312500001,166006,37.866818687526695,1003.3110276270705,83.07930783192522,0,2,2,0,2,2,318,82,25,2,0,0
Wed Feb 18 15:16:14 2026,15.604414062499998,165187,37.98824341762691,1003.3131564464265,83.06144194044542,1,2,2,1,2,2,345,92,25,2,0,0
Wed Feb 18 15:16:15 2026,15.6028515625,165514,38.098100545827165,1003.313986361003,83.05447697837685,1,2,2,1,2,2,345,92,25,2,0,0
Wed Feb 18 15:16:16 2026,15.6028515625,165514,38.22558091354164,1003.3208417636804,82.9969439829559,1,2,2,1,2,2,345,92,25,2,0,0
Wed Feb 18 15:16:17 2026,15.603828125,166501,38.33005868130251,1003.3224653959118,82.98331792617492,1,2,2,1,2,2,336,96,25,2,0,0
Wed Feb 18 15:16:18 2026,15.603632812499999,167836,38.422880384793935,1003.3169991107673,83.02919286374076,1,2,2,1,2,2,336,96,25,2,0,0
Wed Feb 18 15:16:19 2026,15.595624999999998,167500,38.45690649165311,1003.3156822342336,83.0402445729984,1,2,2,1,2,2,336,96,25,2,0,0
