time,temp,gas,humidity,pressure,alt,stndr10,stndr25,stndr100,enviro10,enviro25,enviro100,p03um,p05um,p10um,p25um,p50um,p100um
1771462319.196606,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.1967444,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.196884,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.1970227,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.1971617,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.1973014,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.1974812,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.1976254,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.1977658,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.1979039,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.1980417,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.198181,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.1983192,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.1984603,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.1986015,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.1987424,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.1988823,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.1990213,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.1991618,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.1993015,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.199441,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.1995807,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.19972,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.1998584,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.1999981,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2001374,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.200277,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2003815,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.200475,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2005684,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2006617,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2007544,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2008476,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2009404,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2010329,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2011254,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2012181,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2013106,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2014303,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2015269,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2016194,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2017126,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2018058,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2018986,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2019908,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2020822,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.202174,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2022657,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2023585,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2024508,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2025425,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2027512,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.202855,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.202949,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2030427,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2031357,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2032282,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2033203,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.203413,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2035055,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2035978,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2036908,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2037838,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2038763,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2039692,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.204061,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2041526,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2042453,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2043388,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2044318,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.204524,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.2046158,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
