time,temp,gas,humidity,pressure,alt,stndr10,stndr25,stndr100,enviro10,enviro25,enviro100,p03um,p05um,p10um,p25um,p50um,p100um
Wed Feb 25 14:34:39 2026,18.4161328125,123708,60.93744401788948,1008.5970692881701,38.81104907453034,0,0,0,0,0,0,99,28,7,1,0,0
Wed Feb 25 14:34:40 2026,18.417109375,123616,60.924368033323745,1008.5969743865667,38.811842145388006,0,0,0,0,0,0,99,28,7,1,0,0
Wed Feb 25 14:34:41 2026,18.4161328125,124814,60.89778770153691,1008.595347635115,38.82543654226723,0,0,0,0,0,0,108,29,7,1,0,0
Wed Feb 25 14:34:42 2026,18.4161328125,124443,60.8647467071242,1008.5936259821721,38.83982402895236,0,0,0,0,0,0,108,29,7,1,0,0
Wed Feb 25 14:34:43 2026,18.4157421875,125000,60.8382603973872,1008.5964185867169,38.81648683802942,0,0,0,0,0,0,108,29,7,1,0,0
Wed Feb 25 14:34:44 2026,18.4161328125,125000,60.82510463688628,1008.5970692881701,38.81104907453034,0,0,0,0,0,0,90,23,4,1,0,0
Wed Feb 25 14:34:45 2026,18.4165234375,125562,60.81194972141394,1008.5891117201936,38.87754884854911,0,0,0,0,0,0,90,23,4,1,0,0
Wed Feb 25 14:34:46 2026,18.4165234375,126130,60.78552769978765,1008.5908333738782,38.86316130352312,0,0,0,0,0,0,90,23,4,1,0,0
Wed Feb 25 14:34:47 2026,18.4165234375,126702,60.77892273400644,1008.5994416439878,38.79122386259695,0,0,0,0,0,0,99,26,4,1,0,0
Wed Feb 25 14:34:48 2026,18.4165234375,126894,60.74590114285259,1008.6046066074017,38.74806162539739,0,0,0,0,0,0,99,26,4,1,0,0
Wed Feb 25 14:34:49 2026,18.4165234375,127280,60.75910913176369,1008.595998335607,38.81999878212469,0,0,0,0,0,0,99,26,4,1,0,0
Wed Feb 25 14:34:50 2026,18.4161328125,127863,60.75244769011255,1008.6005125946177,38.78227419589633,0,0,0,0,0,0,90,23,3,0,0,0
Wed Feb 25 14:34:51 2026,18.4157421875,128846,60.73918281247433,1008.5946969347407,38.830874304265215,0,0,0,0,0,0,90,23,3,0,0,0
Wed Feb 25 14:34:52 2026,18.4165234375,128945,60.739297472172254,1008.594276681585,38.83438627031091,0,0,0,0,0,0,90,23,3,0,0,0
Wed Feb 25 14:34:53 2026,18.415546875,129144,60.732550704496866,1008.5943715845979,38.83359318595816,0,0,0,0,0,0,99,26,4,0,0,0
Wed Feb 25 14:34:54 2026,18.4161328125,129644,60.732636692028926,1008.5936259821721,38.83982402895236,0,0,0,0,0,0,99,26,4,0,0,0
Wed Feb 25 14:34:55 2026,18.4149609375,130350,60.739068153710086,1008.5933955343467,38.8417498338177,0,0,0,0,0,0,99,26,4,0,0,0
Wed Feb 25 14:34:56 2026,18.4149609375,130859,60.73246471748992,1008.5968388340954,38.81297492629871,0,0,0,0,0,0,99,26,4,0,0,0
Wed Feb 25 14:34:57 2026,18.413984375,130859,60.73232140697877,1008.5934904316382,38.840956796717414,0,0,0,0,0,0,99,26,4,0,0,0
Wed Feb 25 14:34:58 2026,18.4149609375,131890,60.739068153710086,1008.5985604841383,38.79858750095664,0,0,0,0,0,0,99,26,4,0,0,0
Wed Feb 25 14:34:59 2026,18.4145703125,131682,60.732407393110414,1008.5720850582189,39.01983862002115,0,0,0,0,0,0,126,34,8,1,0,0
Wed Feb 25 14:35:00 2026,18.413984375,131994,60.745528472007486,1008.5538925762862,39.17187315836774,0,0,0,0,0,0,126,34,8,1,0,0
Wed Feb 25 14:35:01 2026,18.4126171875,132621,60.73872418301956,1008.5343988083011,39.33478500637199,0,0,0,0,0,0,126,34,8,1,0,0
Wed Feb 25 14:35:02 2026,18.4114453125,133679,60.73194880647688,1008.5238386334281,39.42303876831655,0,0,0,0,0,0,108,28,8,1,0,0
Wed Feb 25 14:35:03 2026,18.4094921875,132937,60.73166219741687,1008.5085339286915,39.5509449639004,0,0,0,0,0,0,108,28,8,1,0,0
Wed Feb 25 14:35:04 2026,18.4098828125,134000,60.73832289450165,1008.5401739521553,39.28652114380749,0,0,0,0,0,0,108,28,8,1,0,0
Wed Feb 25 14:35:05 2026,18.4094921875,133573,60.75147295823366,1008.548131441803,39.220019411678436,0,0,0,0,0,0,105,26,8,1,0,0
Wed Feb 25 14:35:06 2026,18.410078125,135299,60.75155896127358,1008.5577156265678,39.139923749849885,0,0,0,0,0,0,105,26,8,1,0,0
Wed Feb 25 14:35:07 2026,18.40890625,134322,60.771199638266054,1008.5626501089388,39.098686196774516,0,0,0,0,0,0,105,26,8,1,0,0
Wed Feb 25 14:35:08 2026,18.4098828125,135518,60.771343010971464,1008.5728849959003,39.013153593244006,0,0,0,0,0,0,105,26,5,1,0,0
Wed Feb 25 14:35:09 2026,18.4094921875,135081,60.758076976875635,1008.5825641102072,38.93226620953901,0,0,0,0,0,0,105,26,5,1,0,0
Wed Feb 25 14:35:10 2026,18.409296875,135299,60.777861651043736,1008.5787954937645,38.96376008298445,0,0,0,0,0,0,105,26,5,1,0,0
Wed Feb 25 14:35:11 2026,18.408515625,135737,60.777746944159794,1008.5843806311242,38.91708579718889,0,0,0,0,0,0,99,26,5,1,0,0
Wed Feb 25 14:35:12 2026,18.4079296875,136512,60.771056267020214,1008.5902911051496,38.867692941982014,0,0,0,0,0,0,99,26,5,1,0,0
Wed Feb 25 14:35:14 2026,18.4083203125,135848,60.79092821962282,1008.5961067050059,38.81909316329759,0,0,0,0,0,0,99,26,5,1,0,0
Wed Feb 25 14:35:15 2026,18.408515625,136958,60.777746944159794,1008.5912671603064,38.8595362327991,0,0,0,0,0,0,102,26,5,1,0,0
Wed Feb 25 14:35:16 2026,18.409296875,137183,60.79767693776514,1008.5925685675952,38.84866062704519,0,0,0,0,0,0,102,26,5,1,0,0
Wed Feb 25 14:35:17 2026,18.408515625,137070,60.784351814578734,1008.5843806311242,38.91708579718889,0,0,0,0,0,0,102,26,5,1,0,0
Wed Feb 25 14:35:18 2026,18.4079296875,138087,60.78426577805145,1008.5834045824414,38.92524249736523,0,0,0,0,0,0,102,24,6,1,0,0
Wed Feb 25 14:35:19 2026,18.40734375,138430,60.7907848143658,1008.5875934210314,38.89023701351027,0,0,0,0,0,0,102,24,6,1,0,0
Wed Feb 25 14:35:20 2026,18.4067578125,139467,60.78409370657349,1008.5866173680245,38.89839372878615,0,0,0,0,0,0,102,24,6,1,0,0
